=== 0. dra på munnen  (nid 1780080629524)
  OLD   : -
  HB    : Le lätt, visa glad min
  REG   : vardaglig, neutral
  SYN   : le | smila
  GRP   : None
  EX    : Hon <font color="#3498db">drog på munnen</font> när hon hörde skämtet.
  ETYM  : None
  BILD  : -
  RISK  : old_saknas
=== 1. en polsk riksdag  (nid 1780080628777)
  OLD   : -
  HB    : En rörig och oordnad sammankomst med totalt kaos
  REG   : vardaglig, skämtsam
  SYN   : ≈≈ kaos
  GRP   : None
  EX    : Mötet urartade till <font color="#3498db">en polsk riksdag</font> där alla pratade i mun på varandra.
  ETYM  : None
  BILD  : JA
  RISK  : old_saknas
=== 2. ombesörja  (nid 1780080627661)
  OLD   : utföra viktig handling åt annan
  HB    : Se till att en uppgift blir gjord åt någon annan
  REG   : formell, neutral
  SYN   : ordna | utföra | åstadkomma
  GRP   : None
  EX    : Utbildningen <font color="#3498db">ombesörjdes</font> av de fackliga organisationerna.
  ETYM  : None
  BILD  : -
  RISK  : dold_betydelse
=== 3. acceptans  (nid 1780080620282)
  OLD   : godkännande
  HB    : Att något godtas av många
  REG   : formell, neutral
  SYN   : accepterande
  GRP   : None
  EX    : Att genomföra stora förändringar utan folklig <font color="#3498db">acceptans</font> är omöjligt.
  ETYM  : till acceptera
  BILD  : -
  RISK  : old_delar_inget_ordforrad
=== 4. betsel  (nid 1780080625705)
  OLD   : tygel
  HB    : Redskap i hästens mun som ryttaren styr med
  REG   : neutral, neutral
  SYN   : styrmedel för häst
  GRP   : None
  EX    : Hon höll fast hästen i <font color="#3498db">betslet</font>.
  ETYM  : fornsvenska bezl; nordiskt ord, besläktat med 1bita 1
  BILD  : JA
  RISK  : old_delar_inget_ordforrad
=== 5. cyklisk  (nid 1780080625449)
  OLD   : som upprepar sig
  HB    : Som upprepas regelbundet, moment för moment ; som bildar en sluten ring
  REG   : formell, neutral ; fackspråklig, neutral, kemi
  SYN   : kretsformig | ≈≈ ringformad
  GRP   : [['kretsformig'], ['≈≈ ringformad']]
  EX    : Årstiderna följer ett <font color="#3498db">cykliskt</font> förlopp som upprepas år efter år.
  ETYM  : None
  BILD  : -
  RISK  : old_delar_inget_ordforrad
=== 6. erövring  (nid 1780080623944)
  OLD   : underkuvande
  HB    : Att ta något med våld eller makt ; Framsteg som vunnits efter hårt arbete ; Person man vunnit som kärlekspartner
  REG   : formell, neutral ; litterär, neutral ; vardaglig, lätt negativ
  SYN   : ≈≈ maktövertagande | ≈≈ landvinning | ≈≈ kärlekspartner
  GRP   : [['≈≈ maktövertagande'], ['≈≈ landvinning'], ['≈≈ kärlekspartner']]
  EX    : Spanjorernas <font color="#3498db">erövring</font> av Sydamerika förändrade hela kontinenten.
  ETYM  : None
  BILD  : -
  RISK  : old_delar_inget_ordforrad
=== 7. högoddsare  (nid 1780080627954)
  OLD   : <span style="text-align: center;">osannolik vinnare</span>
  HB    : Deltagare som väntas förlora
  REG   : vardaglig, neutral, sport
  SYN   : ≈≈ förlorarkandidat
  GRP   : None
  EX    : Den svenska låten var en <font color="#3498db">högoddsare</font> inför schlagerfestivalen.
  ETYM  : None
  BILD  : -
  RISK  : old_delar_inget_ordforrad
=== 8. koloss  (nid 1780080619539)
  OLD   : jätte
  HB    : Mycket stor staty ; ovanligt stor person eller sak
  REG   : fackspråklig, neutral, konst ; neutral, neutral
  SYN   : stor staty | bjässe
  GRP   : [['stor staty'], ['bjässe']]
  EX    : Det var en <font color="#3498db">koloss</font> av en man som stod framför oss.
  ETYM  : av grekiska kolossos´ 'jättelik staty'
  BILD  : -
  RISK  : old_delar_inget_ordforrad
=== 9. kronometer  (nid 1780080627289)
  OLD   : tidtagarur<br><a href="https://commons.wikimedia.org/wiki/File:Harrison_H4_chronometer.jpg"><img src="250px-harrison_h4_chronometer.webp"></a><a href="https://commons.wikimedia.org/wiki/File:Chronoswiss_4a.jpg"><img src="250px-chronoswiss_4a.webp"></a>
  HB    : Ur byggt för mycket exakt tidmätning
  REG   : fackspråklig, neutral, sjöfart
  SYN   : ≈≈ ur
  GRP   : None
  EX    : Seglaren använde en <font color="#3498db">kronometer</font> för att navigera på öppet hav.
  ETYM  : bildn. till grekiska khron´os 'tid' och met´ron 'mått'
  BILD  : JA
  RISK  : old_delar_inget_ordforrad
=== 10. ledstjärna  (nid 1780080626721)
  OLD   : regel att utgå ifrån<br><img alt="webp image" src="paste_1759147683659.webp">
  HB    : Princip man låter styra sina handlingar
  REG   : litterär, positiv
  SYN   : levnadsprincip
  GRP   : None
  EX    : Hederlighet och uppriktighet hade alltid varit hans <font color="#3498db">ledstjärnor</font>.
  ETYM  : fornsvenska ledhestiärna; till 2led 1; gemensamt germanskt ord, oftast för Polstjärnan
  BILD  : JA
  RISK  : old_delar_inget_ordforrad
=== 11. långrandig  (nid 1780080624473)
  OLD   : tråkig och enformig
  HB    : Tröttsamt utdragen ; randig på längden
  REG   : neutral, lätt negativ ; neutral, neutral
  SYN   : långtråkig | randig på längden
  GRP   : [['långtråkig'], ['randig på längden']]
  EX    : Filmen hade en <font color="#3498db">långrandig</font> handling som drog ut på tiden.
  ETYM  : None
  BILD  : -
  RISK  : old_delar_inget_ordforrad
=== 12. pampusch  (nid 1780080627667)
  OLD   : fotbeklädnad<br><a href="https://commons.wikimedia.org/wiki/File:Herrpampuscher.jpg"><img alt="Herrpampusher från mitten av 1900-talet (bottiner)." src="150px-herrpampuscher.webp"></a>
  HB    : Fodrad överdragssko som bärs utanpå andra skor
  REG   : ngt ålderdomlig, neutral
  SYN   : bottin
  GRP   : None
  EX    : Han drog på sig ett par <font color="#3498db">pampuscher</font> innan han gick ut i snöslasket.
  ETYM  : av tyska Pampusche, franska babouche med samma betydelse; av persiska pāpūsh 'fotbeklädnad'
  BILD  : JA
  RISK  : old_delar_inget_ordforrad
=== 13. rayon  (nid 1780080627070)
  OLD   : konstsilke<br><a href="https://www.google.com/imgres?q=rayon%20fabric&amp;imgurl=https%3A%2F%2Fzelouffabrics.com%2Fcdn%2Fshop%2Farticles%2Frayon_fabric_1.png%3Fv%3D1686600710%26width%3D1500&amp;imgrefurl=https%3A%2F%2Fzelouffabrics.com%2Fblogs%2Fnews%2Fwhy-rayon-fabric-is-a-fashionistas-favorite-key-advantages-and-care-tips&amp;docid=gfUeOC3hg70wkM&amp;tbnid=HkH52oeSfnkfcM&amp;vet=12ahUKEwi9gqnN0_WLAxUAAhAIHVB8An4QM3oECBkQAA..i&amp;w=1500&amp;h=844&amp;hcb=2&amp;ved=2ahUKEwi9gqnN0_WLAxUAAhAIHVB8An4QM3oECBkQAA"><div><div><div><img alt="Zelouf Fabrics" src="paste-dbe5c062c6e9813f702874ccb531b27a2e21b840.webp"></div></div></div></a>
  HB    : Konstgjord fiber gjord av trämassa, som glänser likt silke
  REG   : neutral, neutral
  SYN   : ≈≈ textilfiber
  GRP   : None
  EX    : Hon bar en kjol av <font color="#3498db">rayon</font>.
  ETYM  : av engelska rayon med samma betydelse, till ray 'stråle'; jfr ursprung till räjong
  BILD  : JA
  RISK  : old_delar_inget_ordforrad
=== 14. resorbera  (nid 1780080625097)
  OLD   : uppsuga
  HB    : Suga upp, om kroppens upptag av vätska eller näring
  REG   : fackspråklig, neutral, medicin
  SYN   : suga upp
  GRP   : None
  EX    : Tarmen hade svårt att <font color="#3498db">resorbera</font> allt salt.
  ETYM  : av latin resorbe´re 'åter dricka'; jfr ursprung till absorbera
  BILD  : -
  RISK  : old_delar_inget_ordforrad
=== 15. sovel  (nid 1780080628631)
  OLD   : "riktig mat" (proteiner)&nbsp;<i>förutom kolhyd.<br></i><img alt="webp image" src="paste_1757680746774.webp">
  HB    : Mat man äter till brödet, särskilt det matiga som kött, fisk eller pålägg
  REG   : ngt ålderdomlig, neutral
  SYN   : smörgåspålägg
  GRP   : None
  EX    : Det var ont om <font color="#3498db">sovel</font> till brödet den vintern.
  ETYM  : fornsvenska sofl, suffl; gemensamt germanskt ord, troligen med grundbet. 'mjölkmat'; besläktat med soppa, supa
  BILD  : JA
  RISK  : old_delar_inget_ordforrad
=== 16. underförstå  (nid 1780080624968)
  OLD   : lära av sammanhanget
  HB    : Mena något utan att säga det rakt ut
  REG   : formell, neutral
  SYN   : ≈≈ antyda
  GRP   : None
  EX    : Hans ord innebar ett <font color="#3498db">underförstått</font> hot.
  ETYM  : None
  BILD  : -
  RISK  : old_delar_inget_ordforrad
=== 17. adolescens  (nid 1780080624653)
  OLD   : ungdomsålder
  HB    : Perioden när man går från barn till vuxen
  REG   : fackspråklig, neutral, psykologi
  SYN   : ungdomsålder
  GRP   : None
  EX    : Att känna sig håglös är helt normalt under <font color="#3498db">adolescensen</font>.
  ETYM  : av engelska adolescence med samma betydelse; av latin adolescen´tia 'växa upp'
  BILD  : JA
=== 18. assurera  (nid 1780080624095)
  OLD   : försäkra
  HB    : Teckna en försäkring för något
  REG   : ngt ålderdomlig, neutral, ekonomi
  SYN   : försäkra
  GRP   : None
  EX    : Företaget lät <font color="#3498db">assurera</font> sina anställda mot olycksfall.
  ETYM  : av franska assurer med samma betydelse; till latin ad´ 'till' och secu´rus (franska sûr) 'säker'
  BILD  : -
=== 19. autostrada  (nid 1780080627184)
  OLD   : motorväg<br><a href="https://www.google.com/imgres?q=autostrada&amp;imgurl=https%3A%2F%2Fupload.wikimedia.org%2Fwikipedia%2Fcommons%2Fthumb%2F7%2F79%2FSan_Giuliano_Milanese_-_autostrada_A1.JPG%2F640px-San_Giuliano_Milanese_-_autostrada_A1.JPG&amp;imgrefurl=https%3A%2F%2Fsv.wikipedia.org%2Fwiki%2FMotorv%25C3%25A4gar_i_Italien&amp;docid=IHk0M1-c8W27uM&amp;tbnid=s9wWOuFUlRfQpM&amp;vet=12ahUKEwjyiKefmvqLAxVwIxAIHZm7I9kQM3oECBUQAA..i&amp;w=640&amp;h=480&amp;hcb=2&amp;ved=2ahUKEwjyiKefmvqLAxVwIxAIHZm7I9kQM3oECBUQAA"><div><div><div><img alt="Motorvägar i Italien – Wikipedia" src="paste-aecfeb2a161efc8cc6a456f6730abcd3a57b99ec.webp"></div></div></div></a>
  HB    : Italiensk motorväg
  REG   : neutral, neutral
  SYN   : motorväg
  GRP   : None
  EX    : På den italienska <font color="#3498db">autostradan</font> gick det att köra fort.
  ETYM  : av italienska autostrada med samma betydelse; till auto- och italienska strada 'väg'; besläktat med stratum
  BILD  : JA
=== 20. dissekera  (nid 1780080619653)
  OLD   : skära upp och undersöka
  HB    : Skära upp en kropp för att undersöka den ; granska något i minsta detalj
  REG   : fackspråklig, neutral, biologi ; neutral, neutral
  SYN   : noggrant undersöka | noggrant analysera
  GRP   : [['noggrant undersöka'], ['noggrant analysera']]
  EX    : Biologen fick <font color="#3498db">dissekera</font> det döda djurets organ för att studera dess anatomi.
  ETYM  : av latin disseca´re 'sönderskära'; jfr ursprung till sekatör, sektion
  BILD  : -
=== 21. dyig  (nid 1780080626434)
  OLD   : gyttjig
  HB    : Full av dy, alltså löst och ruttnande bottenslam
  REG   : neutral, neutral
  SYN   : ≈≈ gyttjig
  GRP   : None
  EX    : Sjöns botten var <font color="#3498db">dyig</font> och svår att gå i.
  ETYM  : None
  BILD  : -
=== 22. eftersinna  (nid 1780080625852)
  OLD   : tänka efter
  HB    : Tänka igenom något grundligt
  REG   : ngt ålderdomlig, neutral
  SYN   : ≈≈ tänka
  GRP   : None
  EX    : Han satte sig ner för att i lugn och ro <font color="#3498db">eftersinna</font> sina brister.
  ETYM  : None
  BILD  : -
=== 23. eldsjäl  (nid 1780080625887)
  OLD   : engagerad person,&nbsp; entusiast
  HB    : Person med brinnande engagemang som driver andra framåt ; själva den brinnande iver som driver en sådan person
  REG   : neutral, positiv ; litterär, positiv
  SYN   : engagerad person | ≈≈ iver
  GRP   : [['engagerad person'], ['≈≈ iver']]
  EX    : <font color="#3498db">Eldsjälarna</font> i ungdomsidrotten la ner hundratals oavlönade timmar varje år.
  ETYM  : None
  BILD  : -
=== 24. en orm i paradiset  (nid 1780080628756)
  OLD   : (bibl.)&nbsp; ngn elr ngt som förstör en idealisk tillvaro<br><img alt="webp image" src="paste_1762619635310.webp">
  HB    : Något som förstör en till synes felfri situation
  REG   : litterär, neutral
  SYN   : förstörare
  GRP   : None
  EX    : Korruptionen blev <font color="#3498db">en orm i paradiset</font> för det nya demokratiska systemet.
  ETYM  : None
